2023-12-12;1;null;0.0;END
2023-12-12;2;null;0.0;END
2023-12-12;3;Annie;200.0;END
2023-12-12;4;null;0.0;END
2023-12-12;5;null;0.0;END
2023-12-12;6;null;0.0;END
2023-12-12;7;null;0.0;END
2023-12-12;8;null;0.0;END
2023-12-13;1;null;0.0;END
2023-12-13;2;null;0.0;END
2023-12-13;3;null;0.0;END
2023-12-13;4;null;0.0;END
2023-12-13;5;null;0.0;END
2023-12-13;6;null;0.0;END
2023-12-13;7;null;0.0;END
2023-12-13;8;null;0.0;END
2023-12-14;1;null;0.0;END
2023-12-14;2;null;0.0;END
2023-12-14;3;null;0.0;END
2023-12-14;4;null;0.0;END
2023-12-14;5;null;0.0;END
2023-12-14;6;null;0.0;END
2023-12-14;7;null;0.0;END
2023-12-14;8;null;0.0;END
2023-12-15;1;null;0.0;END
2023-12-15;2;null;0.0;END
2023-12-15;3;null;0.0;END
2023-12-15;4;null;0.0;END
2023-12-15;5;null;0.0;END
2023-12-15;6;null;0.0;END
2023-12-15;7;null;0.0;END
2023-12-15;8;null;0.0;END
